Price,Close,High,Low,Open,Volume
Ticker,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA
Date,,,,,
2011-02-17,8.399025917053223,8.637653229324009,8.399025917053223,8.493132237015214,518250
2011-02-18,8.587239265441895,8.634292424914129,8.459522631086946,8.462883342102383,945375
2011-02-21,8.654457092285156,8.731759044107907,8.466243679208631,8.731759044107907,640250
2011-02-22,8.805700302124023,8.94686057537379,8.57715593728667,8.57715593728667,1671000
2011-02-23,8.688067436218262,8.953582826620694,8.688067436218262,8.788895974196073,920500
2011-02-24,8.688067436218262,8.688067436218262,8.688067436218262,8.688067436218262,0
2011-02-25,8.704872131347656,8.822505830899361,8.651096748732991,8.815783607579771,625875
2011-02-28,8.738479614257812,8.872918440204254,8.711592329856824,8.872918440204254,335625
2011-03-01,8.805700302124023,8.86955861636963,8.782173723468059,8.785535235643188,512125
2011-03-02,8.83930778503418,8.90316527751422,8.788893131693381,8.80569748193116,582625
2011-03-03,8.889724731445312,8.919973533978961,8.805700547067625,8.90316837657782,309375
2011-03-04,8.872920989990234,8.936778509121591,8.842672185361234,8.91661344068299,707000
2011-03-09,8.872920989990234,8.872920989990234,8.872920989990234,8.872920989990234,0
2011-03-10,8.738479614257812,8.903166434826906,8.462881343235434,8.876279150425919,2099250
2011-03-11,8.735116958618164,8.963662030382098,8.657815031539121,8.688063820738831,304125
2011-03-14,8.889724731445312,8.906529888846453,8.553629596562581,8.772091033579352,571875
2011-03-15,8.83930778503418,8.89980456772941,8.651093613437682,8.74183998945112,873000
2011-03-16,8.604043006896973,8.852754034486443,8.55362914001241,8.798978655512666,1086500
2011-03-17,8.503213882446289,8.704870938635393,8.419190509691118,8.593959477599995,449750
2011-03-18,8.452802658081055,8.553631217655,8.419193138223072,8.489772889530586,532000
2011-03-21,8.432635307312012,8.792257026604366,8.30491867345722,8.452801175953718,2007
2011-03-22,8.738479614257812,8.738479614257812,8.435994058834446,8.533461867087237,460125
2011-03-23,8.866195678710938,8.866195678710938,8.671260074072205,8.671260074072205,468500
2011-03-24,8.772089958190918,8.85611413226791,8.691427295970465,8.738480448822903,333
2011-03-25,8.903166770935059,8.919971925305472,8.788894605946162,8.788894605946162,579625
2011-03-28,8.956947326660156,8.990556853537678,8.83595286963821,8.930060025683868,489375
2011-03-29,8.940138816833496,9.007357839407781,8.862836860741673,8.980469749589693,283625
2011-03-30,9.192206382751465,9.34008881928106,8.950218470938209,8.950218470938209,283625
2011-03-31,9.276233673095703,9.571997845029184,9.151878564904717,9.286316606334317,1153500
2011-04-01,9.377063751220703,9.417395490829193,9.235903463905052,9.27959591470956,2085875
2011-04-04,9.343453407287598,9.585442220865003,9.343453407287598,9.37706292021146,302875
2011-04-05,9.494696617126465,9.615691023928223,9.377062921223256,9.440921236179683,302875
2011-04-06,9.524944305419922,9.59888474442627,9.410671333777008,9.48125186359167,499375
2011-04-07,9.434196472167969,9.578717418963919,9.410669899586509,9.578717418963919,660375
2011-04-08,9.346813201904297,9.511500039480934,9.269511249626037,9.414033022476362,313875
2011-04-11,9.242623329162598,9.457724015787624,9.229179686494883,9.343451851141253,308625
2011-04-12,9.35689640045166,9.410671777646984,9.19220955820159,9.2594293806812,615125
2011-04-13,9.477889060974121,9.50477714529863,9.245983240079967,9.410670052133536,575875
2011-04-14,9.343453407287598,9.528306129025838,9.343453407287598,9.528306129025838,581750
2011-04-15,9.293038368225098,9.457724399892225,9.225818549528814,9.377061739296137,573875
